Ident; VT ;Área Total;n0 Quartos;n0 Suítes;n0 Garagens;Dist B Mar;Padrão;Novo;Data_2015;Coord E;Coord N
CEN_24;450.000,00;79,00;2;0;1;95;1;0;0;742.500,76;6.946.778,58
CEN_25;580.000,00;95,00;3;1;1;535;1;1;0;741.964,54;6.945.773,67
CEN_26;2.709.000,00;399,00;3;3;3;310;3;1;0;742.038,03;6.946.048,30
CEN_27;460.000,00;98,00;2;1;2;670;1;0;0;741.368,44;6.945.404,50
CEN_28;1.400.000,00;300,00;3;1;2;340;1;0;0;741.129,93;6.945.683,95
CEN_29;390.000,00;119,00;3;0;1;1180;1;0;0;742.165,00;6.945.162,00
CEN_30;954.000,00;208,00;2;2;2;115;2;0;0;741.075,87;6.945.903,26
CEN_31;1.750.000,00;304,54;4;4;3;425;2;1;0;742.359,40;6.946.072,50
CEN_32;430.000,00;108,00;3;1;1;230;1;0;0;741.016,43;6.945.758,26
CEN_33;1.000.000,00;274,00;3;3;2;510;1;0;0;741.741,15;6.945.726,53
CEN_34;330.000,00;136,00;2;1;1;1539;1;0;0;742.324,93;6.944.839,65
CEN_35;300.000,00;117,00;3;0;1;960;1;0;0;741.728,12;6.945.242,00
CEN_36;1.150.000,00;160,00;4;1;2;263;3;1;0;741.503,00;6.945.904,25
CEN_37;705.460,00;210,00;2;1;2;424;2;1;0;742.250,60;6.946.016,55
CEN_38;795.000,00;130,00;3;1;2;430;2;0;0;740.974,00;6.945.549,00
CEN_39;2.300.000,00;386,00;4;4;3;910;3;0;0;742.003,03;6.945.394,60
CEN_40;950.000,00;295,91;4;1;3;360;1;0;0;741.030,88;6.945.644,29
Aval 1;1.050.000,00;205,00;3;1;2;250;2;0;1;741.505,82;6.945.904,04
Aval 2;923.114,00;196,00;3;1;2;990;3;1;0;742.166,95;6.945.356,85
